date,region,segment,deals_total,deals_won,units,avg_unit_price,discount_pct,revenue_booked,invoice_delay_days,revenue_recognized
2026-04-06,North,ENT,4,1,1,9156.85,6.49,9156.85,0,9156.85
2026-04-06,North,MID,7,2,4,3341.99,6.11,6683.97,0,6683.97
2026-04-06,North,SMB,11,4,12,1352.6,7.09,5410.4,0,5410.4
2026-04-06,South,ENT,3,1,1,9119.19,5.77,9119.19,0,9119.19
2026-04-06,South,MID,6,2,4,3444.78,4.59,6889.56,0,6889.56
2026-04-06,South,SMB,12,4,12,1380.2,5.21,5520.81,0,5520.81
2026-04-06,East,ENT,2,1,1,9092.99,6.9,9092.99,0,9092.99
2026-04-06,East,MID,6,2,4,3380.7,4.3,6761.41,0,6761.41
2026-04-06,East,SMB,10,3,9,1390.68,4.23,4172.04,0,4172.04
2026-04-06,West,ENT,3,1,1,8996.02,6.09,8996.02,0,8996.02
2026-04-06,West,MID,5,2,4,3318.1,5.28,6636.21,0,6636.21
2026-04-06,West,SMB,9,3,9,1382.64,6.28,4147.91,0,4147.91
2026-04-07,North,ENT,3,1,1,9352.11,6.0,9352.11,0,9352.11
2026-04-07,North,MID,6,2,4,3465.01,4.79,6930.02,0,6930.02
2026-04-07,North,SMB,12,4,12,1354.73,6.83,5418.93,0,5418.93
2026-04-07,South,ENT,3,1,1,9280.93,4.67,9280.93,0,9280.93
2026-04-07,South,MID,7,3,6,3314.04,6.1,9942.12,0,9942.12
2026-04-07,South,SMB,13,4,12,1376.27,6.32,5505.1,0,5505.1
2026-04-07,East,ENT,2,1,1,9081.23,6.37,9081.23,0,9081.23
2026-04-07,East,MID,5,2,4,3359.43,5.95,6718.86,0,6718.86
2026-04-07,East,SMB,12,4,12,1313.9,7.23,5255.62,0,5255.62
2026-04-07,West,ENT,2,1,1,9099.78,5.9,9099.78,0,9099.78
2026-04-07,West,MID,5,2,4,3396.84,7.14,6793.69,0,6793.69
2026-04-07,West,SMB,10,3,9,1356.17,5.88,4068.52,0,4068.52
2026-04-08,North,ENT,3,1,1,9280.27,6.16,9280.27,0,9280.27
2026-04-08,North,MID,7,3,6,3364.62,6.65,10093.87,0,10093.87
2026-04-08,North,SMB,12,4,12,1351.03,6.66,5404.13,0,5404.13
2026-04-08,South,ENT,2,1,1,9291.16,5.36,9291.16,0,9291.16
2026-04-08,South,MID,7,2,4,3377.74,6.32,6755.48,0,6755.48
2026-04-08,South,SMB,14,5,15,1339.12,5.45,6695.6,0,6695.6
2026-04-08,East,ENT,3,1,1,9229.14,6.34,9229.14,0,9229.14
2026-04-08,East,MID,5,2,4,3313.68,5.5,6627.36,0,6627.36
2026-04-08,East,SMB,11,3,9,1373.51,4.82,4120.54,0,4120.54
2026-04-08,West,ENT,3,1,1,9269.01,6.98,9269.01,0,9269.01
2026-04-08,West,MID,5,2,4,3411.43,4.8,6822.87,0,6822.87
2026-04-08,West,SMB,9,3,9,1360.9,6.72,4082.7,0,4082.7
2026-04-09,North,ENT,3,1,1,9352.81,5.89,9352.81,0,9352.81
2026-04-09,North,MID,6,2,4,3368.33,7.5,6736.66,0,6736.66
2026-04-09,North,SMB,12,4,12,1340.41,7.7,5361.62,0,5361.62
2026-04-09,South,ENT,2,1,1,8945.1,5.36,8945.1,0,8945.1
2026-04-09,South,MID,5,2,4,3346.38,6.99,6692.77,0,6692.77
2026-04-09,South,SMB,12,4,12,1382.45,5.4,5529.78,0,5529.78
2026-04-09,East,ENT,3,1,1,9108.65,7.31,9108.65,0,9108.65
2026-04-09,East,MID,4,1,2,3481.79,5.11,3481.79,0,3481.79
2026-04-09,East,SMB,9,3,9,1361.01,6.88,4083.03,0,4083.03
2026-04-09,West,ENT,3,1,1,9140.49,6.64,9140.49,0,9140.49
2026-04-09,West,MID,5,2,4,3410.1,4.25,6820.21,0,6820.21
2026-04-09,West,SMB,11,4,12,1330.8,6.49,5323.21,0,5323.21
2026-04-10,North,ENT,3,1,1,9393.88,3.93,9393.88,0,9393.88
2026-04-10,North,MID,6,2,4,3512.43,4.44,7024.86,0,7024.86
2026-04-10,North,SMB,9,3,9,1400.08,5.34,4200.24,0,4200.24
2026-04-10,South,ENT,2,1,1,9293.22,7.7,9293.22,0,9293.22
2026-04-10,South,MID,4,1,2,3427.02,4.34,3427.02,0,3427.02
2026-04-10,South,SMB,11,3,9,1350.23,5.41,4050.7,0,4050.7
2026-04-10,East,ENT,2,1,1,9257.43,4.53,9257.43,0,9257.43
2026-04-10,East,MID,5,2,4,3274.7,8.03,6549.41,0,6549.41
2026-04-10,East,SMB,9,3,9,1341.98,7.1,4025.93,0,4025.93
2026-04-10,West,ENT,3,1,1,9047.0,6.94,9047.0,0,9047.0
2026-04-10,West,MID,5,2,4,3439.48,4.92,6878.97,0,6878.97
2026-04-10,West,SMB,10,3,9,1365.05,6.78,4095.14,0,4095.14
2026-04-11,North,ENT,2,1,1,9179.88,5.03,9179.88,0,9179.88
