week_start,region,competitor_price_index,seasonality_index
2026-04-06,North,100.0,0.9135
2026-04-06,South,100.0,0.9135
2026-04-06,East,100.4,0.9135
2026-04-06,West,100.0,0.9135
2026-04-13,North,100.0,0.9174
2026-04-13,South,100.0,0.9174
2026-04-13,East,100.4,0.9174
2026-04-13,West,100.0,0.9174
2026-04-20,North,100.0,0.9212
2026-04-20,South,100.0,0.9212
2026-04-20,East,100.4,0.9212
2026-04-20,West,100.0,0.9212
2026-04-27,North,100.0,0.9249
2026-04-27,South,100.0,0.9249
2026-04-27,East,100.4,0.9249
2026-04-27,West,100.0,0.9249
2026-05-04,North,100.0,0.9284
2026-05-04,South,100.0,0.9284
2026-05-04,East,100.4,0.9284
2026-05-04,West,100.0,0.9284
2026-05-11,North,100.0,0.9318
2026-05-11,South,100.0,0.9318
2026-05-11,East,100.4,0.9318
2026-05-11,West,100.0,0.9318
2026-05-18,North,100.0,0.9349
2026-05-18,South,100.0,0.9349
2026-05-18,East,100.4,0.9349
2026-05-18,West,100.0,0.9349
2026-05-25,North,100.0,0.9377
2026-05-25,South,100.0,0.9377
2026-05-25,East,100.4,0.9377
2026-05-25,West,100.0,0.9377
2026-06-01,North,100.0,0.9401
2026-06-01,South,100.0,0.9401
2026-06-01,East,100.4,0.9401
2026-06-01,West,100.0,0.9401
2026-06-08,North,100.0,0.9422
2026-06-08,South,100.0,0.9422
2026-06-08,East,100.4,0.9422
2026-06-08,West,100.0,0.9422
2026-06-15,North,100.0,0.9439
2026-06-15,South,100.0,0.9439
2026-06-15,East,100.4,0.9439
2026-06-15,West,100.0,0.9439
2026-06-22,North,100.0,0.9451
2026-06-22,South,100.0,0.9451
2026-06-22,East,100.4,0.9451
2026-06-22,West,100.0,0.9451
2026-06-29,North,100.0,0.9459
2026-06-29,South,100.0,0.9459
2026-06-29,East,100.4,0.9459
2026-06-29,West,100.0,0.9459
2026-07-06,North,100.0,0.9463
2026-07-06,South,100.0,0.9463
2026-07-06,East,100.4,0.9463
2026-07-06,West,100.0,0.9463
2026-07-13,North,100.0,0.9461
2026-07-13,South,100.0,0.9461
2026-07-13,East,100.4,0.9461
2026-07-13,West,100.0,0.9461
2026-07-20,North,100.0,0.9455
2026-07-20,South,100.0,0.9455
2026-07-20,East,100.4,0.9455
2026-07-20,West,100.0,0.9455
2026-07-27,North,100.0,0.9395
2026-07-27,South,100.0,0.9395
2026-07-27,East,100.4,0.9395
2026-07-27,West,100.0,0.9395
2026-08-03,North,100.0,0.9156
2026-08-03,South,100.0,0.9156
2026-08-03,East,100.4,0.9156
2026-08-03,West,100.0,0.9156
2026-08-10,North,100.0,0.9137
2026-08-10,South,96.86,0.9137
2026-08-10,East,100.4,0.9137
2026-08-10,West,100.0,0.9137
2026-08-17,North,100.0,0.9114
2026-08-17,South,89.0,0.9114
2026-08-17,East,100.4,0.9114
2026-08-17,West,100.0,0.9114
2026-08-24,North,100.0,0.9088
2026-08-24,South,89.0,0.9088
2026-08-24,East,100.4,0.9088
2026-08-24,West,100.0,0.9088
