week_start,channel,spend,leads,new_customers
2026-04-06,Paid Search,49291.19,1174,98
2026-04-06,Paid Social,25948.99,837,47
2026-04-06,Events,18410.04,102,14
2026-04-06,Partner,11632.56,122,21
2026-04-13,Paid Search,49470.72,1178,101
2026-04-13,Paid Social,24856.0,802,47
2026-04-13,Events,17205.13,96,14
2026-04-13,Partner,11935.05,126,23
2026-04-20,Paid Search,45468.08,1083,97
2026-04-20,Paid Social,25028.75,807,46
2026-04-20,Events,17975.67,100,14
2026-04-20,Partner,11986.19,126,23
2026-04-27,Paid Search,48797.23,1162,100
2026-04-27,Paid Social,26636.83,859,52
2026-04-27,Events,18123.6,101,14
2026-04-27,Partner,11682.8,123,22
2026-05-04,Paid Search,49948.99,1189,99
2026-05-04,Paid Social,26409.75,852,50
2026-05-04,Events,18300.23,102,14
2026-05-04,Partner,12286.33,129,24
2026-05-11,Paid Search,47292.89,1126,92
2026-05-11,Paid Social,25886.3,835,47
2026-05-11,Events,17624.49,98,14
2026-05-11,Partner,11988.39,126,24
2026-05-18,Paid Search,46558.68,1109,94
2026-05-18,Paid Social,26392.55,851,51
2026-05-18,Events,17428.86,97,14
2026-05-18,Partner,12314.39,130,24
2026-05-25,Paid Search,48100.9,1145,102
2026-05-25,Paid Social,24334.16,785,45
2026-05-25,Events,18272.53,102,13
2026-05-25,Partner,12124.96,128,23
2026-06-01,Paid Search,48586.35,1157,99
2026-06-01,Paid Social,26241.48,846,47
2026-06-01,Events,17505.66,97,14
2026-06-01,Partner,11907.06,125,25
2026-06-08,Paid Search,49709.81,1165,101
2026-06-08,Paid Social,26966.36,856,51
2026-06-08,Events,18615.45,102,14
2026-06-08,Partner,12472.69,129,24
2026-06-15,Paid Search,50074.48,1155,103
2026-06-15,Paid Social,27127.72,848,50
2026-06-15,Events,17789.02,96,14
2026-06-15,Partner,12365.88,126,24
2026-06-22,Paid Search,50060.05,1137,92
2026-06-22,Paid Social,28251.71,870,54
2026-06-22,Events,18360.41,97,14
2026-06-22,Partner,11497.37,115,23
2026-06-29,Paid Search,52357.07,1172,95
2026-06-29,Paid Social,26813.07,813,45
2026-06-29,Events,17126.95,89,13
2026-06-29,Partner,11532.92,114,21
2026-07-06,Paid Search,52950.93,1167,90
2026-07-06,Paid Social,28237.72,843,50
2026-07-06,Events,17330.32,89,12
2026-07-06,Partner,11843.17,115,21
2026-07-13,Paid Search,54666.51,1188,103
2026-07-13,Paid Social,28387.12,836,47
2026-07-13,Events,17956.33,91,14
2026-07-13,Partner,12986.0,125,24
2026-07-20,Paid Search,56293.94,1205,110
2026-07-20,Paid Social,28921.24,839,47
2026-07-20,Events,17908.75,89,13
2026-07-20,Partner,12100.01,115,21
2026-07-27,Paid Search,54616.74,1153,97
2026-07-27,Paid Social,30085.75,860,51
2026-07-27,Events,18330.4,90,13
2026-07-27,Partner,11892.03,111,21
2026-08-03,Paid Search,55492.14,1155,98
2026-08-03,Paid Social,29586.39,834,49
2026-08-03,Events,18092.95,88,12
2026-08-03,Partner,12466.34,115,24
2026-08-10,Paid Search,56683.66,1163,103
2026-08-10,Paid Social,30737.77,855,51
2026-08-10,Events,18070.46,87,12
2026-08-10,Partner,11838.23,107,20
2026-08-17,Paid Search,60485.15,1225,112
2026-08-17,Paid Social,32359.96,888,50
2026-08-17,Events,18152.55,86,12
2026-08-17,Partner,12033.8,108,20
2026-08-24,Paid Search,60028.84,1199,102
2026-08-24,Paid Social,32882.87,890,51
2026-08-24,Events,18806.91,88,13
2026-08-24,Partner,11374.21,100,19
