week_start,region,nps_score,responses
2026-04-06,North,70.3,212
2026-04-06,South,69.9,297
2026-04-06,East,70.7,259
2026-04-06,West,72.1,233
2026-04-13,North,72.3,288
2026-04-13,South,71.2,250
2026-04-13,East,67.3,227
2026-04-13,West,72.2,240
2026-04-20,North,70.1,242
2026-04-20,South,72.2,254
2026-04-20,East,72.9,275
2026-04-20,West,70.4,259
2026-04-27,North,69.9,276
2026-04-27,South,71.5,239
2026-04-27,East,71.9,286
2026-04-27,West,71.7,276
2026-05-04,North,71.2,284
2026-05-04,South,71.8,260
2026-05-04,East,69.7,271
2026-05-04,West,72.0,243
2026-05-11,North,74.2,275
2026-05-11,South,71.6,294
2026-05-11,East,73.4,244
2026-05-11,West,71.8,278
2026-05-18,North,70.5,253
2026-05-18,South,71.0,272
2026-05-18,East,71.9,275
2026-05-18,West,71.0,264
2026-05-25,North,73.0,283
2026-05-25,South,71.5,289
2026-05-25,East,71.4,251
2026-05-25,West,71.3,244
2026-06-01,North,71.2,245
2026-06-01,South,68.9,257
2026-06-01,East,72.7,268
2026-06-01,West,73.4,245
2026-06-08,North,70.4,247
2026-06-08,South,71.6,264
2026-06-08,East,73.2,279
2026-06-08,West,69.8,284
2026-06-15,North,74.2,262
2026-06-15,South,73.8,278
2026-06-15,East,74.2,312
2026-06-15,West,75.3,279
2026-06-22,North,72.8,238
2026-06-22,South,74.0,282
2026-06-22,East,72.9,267
2026-06-22,West,72.9,285
2026-06-29,North,75.6,273
2026-06-29,South,74.5,252
2026-06-29,East,74.1,230
2026-06-29,West,72.5,251
2026-07-06,North,73.4,284
2026-07-06,South,74.1,283
2026-07-06,East,76.4,272
2026-07-06,West,73.0,295
2026-07-13,North,73.7,279
2026-07-13,South,73.0,261
2026-07-13,East,73.5,285
2026-07-13,West,73.8,255
2026-07-20,North,74.5,257
2026-07-20,South,75.4,227
2026-07-20,East,72.7,250
2026-07-20,West,72.6,268
2026-07-27,North,74.8,315
2026-07-27,South,73.4,236
2026-07-27,East,74.0,281
2026-07-27,West,73.2,251
2026-08-03,North,73.6,293
2026-08-03,South,72.5,240
2026-08-03,East,72.5,218
2026-08-03,West,74.0,282
2026-08-10,North,74.2,276
2026-08-10,South,75.5,259
2026-08-10,East,74.6,231
2026-08-10,West,73.2,258
2026-08-17,North,80.0,235
2026-08-17,South,77.3,235
2026-08-17,East,77.9,277
2026-08-17,West,79.0,264
2026-08-24,North,79.5,243
2026-08-24,South,78.5,251
2026-08-24,East,80.1,263
2026-08-24,West,77.2,272
