week_start,region,units_shipped,units_returned,defect_tickets,policy_change_flag
2026-04-06,North,4184,263,43,0
2026-04-06,South,4030,240,45,0
2026-04-06,East,4680,297,59,0
2026-04-06,West,4219,248,47,0
2026-04-13,North,4243,253,50,0
2026-04-13,South,4223,250,42,0
2026-04-13,East,4269,254,45,0
2026-04-13,West,4217,269,47,0
2026-04-20,North,4184,274,51,0
2026-04-20,South,4428,282,53,0
2026-04-20,East,3879,224,33,0
2026-04-20,West,3957,238,41,0
2026-04-27,North,4165,237,48,0
2026-04-27,South,4282,246,43,0
2026-04-27,East,4033,258,46,0
2026-04-27,West,4474,283,52,0
2026-05-04,North,4073,249,49,0
2026-05-04,South,4404,261,45,0
2026-05-04,East,4182,232,44,0
2026-05-04,West,4197,239,38,0
2026-05-11,North,4154,269,53,0
2026-05-11,South,4051,251,40,0
2026-05-11,East,3998,249,38,0
2026-05-11,West,4136,236,37,0
2026-05-18,North,4306,271,49,0
2026-05-18,South,4093,252,46,0
2026-05-18,East,4442,265,48,0
2026-05-18,West,4113,241,48,0
2026-05-25,North,4556,256,40,0
2026-05-25,South,3902,250,42,0
2026-05-25,East,4292,260,41,0
2026-05-25,West,4654,285,48,0
2026-06-01,North,4106,240,42,0
2026-06-01,South,3778,222,44,0
2026-06-01,East,4466,281,54,0
2026-06-01,West,4103,246,44,0
2026-06-08,North,4245,257,45,0
2026-06-08,South,4164,237,47,0
2026-06-08,East,4345,265,39,0
2026-06-08,West,4260,262,45,0
2026-06-15,North,4280,262,47,0
2026-06-15,South,4056,240,40,0
2026-06-15,East,3967,246,45,0
2026-06-15,West,4167,250,41,0
2026-06-22,North,4159,243,44,0
2026-06-22,South,4472,266,52,0
2026-06-22,East,4388,254,40,0
2026-06-22,West,3992,238,41,0
2026-06-29,North,4047,260,47,0
2026-06-29,South,4138,261,48,0
2026-06-29,East,4589,282,55,0
2026-06-29,West,3925,239,41,0
2026-07-06,North,3861,224,39,0
2026-07-06,South,4620,270,53,0
2026-07-06,East,4295,269,50,0
2026-07-06,West,4163,260,39,0
2026-07-13,North,4251,281,43,0
2026-07-13,South,4021,239,45,0
2026-07-13,East,3925,221,41,0
2026-07-13,West,3823,239,43,0
2026-07-20,North,3508,212,36,0
2026-07-20,South,4452,290,56,0
2026-07-20,East,4285,258,49,0
2026-07-20,West,4071,233,42,0
2026-07-27,North,4244,258,44,0
2026-07-27,South,4115,231,45,0
2026-07-27,East,3835,245,40,0
2026-07-27,West,4184,242,40,0
2026-08-03,North,4498,301,56,0
2026-08-03,South,4093,234,44,0
2026-08-03,East,4336,272,56,0
2026-08-03,West,4064,245,47,0
2026-08-10,North,4143,265,43,0
2026-08-10,South,4540,281,52,0
2026-08-10,East,4287,254,45,0
2026-08-10,West,4275,269,45,0
2026-08-17,North,4392,300,54,0
2026-08-17,South,4203,290,55,0
2026-08-17,East,3979,257,50,0
2026-08-17,West,4155,291,48,0
2026-08-24,North,3727,254,48,0
2026-08-24,South,4236,322,65,0
2026-08-24,East,4211,319,49,0
2026-08-24,West,4220,319,60,0
